Exch,ExchType,Scripcode,Name,Expiry,Root,Symbol,StrikePrice,OptonType,LTP,OI,OI_Change,OI_START,OI_Prev,Ch,Ch_Diff
N,D,132179,HDFCLIFE 25 Aug 2022 CE 565.00,2022-08-25 14:30:00,HDFCLIFE,HDFCLIFE,565.0,CE,571.0,344300,185900,188100,196900,-46.01,158400
N,D,99383,BATAINDIA 25 Aug 2022 CE 1940.00,2022-08-25 14:30:00,BATAINDIA,BATAINDIA,1940.0,CE,1969.1,122650,70400,122375,74525,-42.6,52250
N,D,132391,HEROMOTOCO 25 Aug 2022 CE 2820.00,2022-08-25 14:30:00,HEROMOTOCO,HEROMOTOCO,2820.0,CE,2818.0,79500,56700,78900,56700,-28.68,22800
N,D,144919,WHIRLPOOL 25 Aug 2022 CE 1800.00,2022-08-25 14:30:00,WHIRLPOOL,WHIRLPOOL,1800.0,CE,1793.6,43400,31150,43050,32550,-28.23,12250
N,D,110118,CANFINHOME 25 Aug 2022 CE 610.00,2022-08-25 14:30:00,CANFINHOME,CANFINHOME,610.0,CE,616.25,522600,382200,517725,390000,-26.87,140400
N,D,98120,EICHERMOT 25 Aug 2022 CE 3350.00,2022-08-25 14:30:00,EICHERMOT,EICHERMOT,3350.0,CE,3337.0,164150,122850,160650,136150,-25.16,41300
N,D,141797,SBICARD 25 Aug 2022 CE 960.00,2022-08-25 14:30:00,SBICARD,SBICARD,960.0,CE,970.9,172800,130400,172000,172000,-24.54,42400
N,D,140467,PIDILITIND 25 Aug 2022 CE 2640.00,2022-08-25 14:30:00,PIDILITIND,PIDILITIND,2640.0,CE,2678.5,29500,22500,29000,23250,-23.73,7000
N,D,144773,VOLTAS 25 Aug 2022 CE 1020.00,2022-08-25 14:30:00,VOLTAS,VOLTAS,1020.0,CE,1020.0,973000,772500,926500,799500,-20.61,200500
N,D,132393,HEROMOTOCO 25 Aug 2022 CE 2840.00,2022-08-25 14:30:00,HEROMOTOCO,HEROMOTOCO,2840.0,CE,2818.0,71400,57300,73500,54000,-19.75,14100
N,D,152652,TITAN 25 Aug 2022 CE 2480.00,2022-08-25 14:30:00,TITAN,TITAN,2480.0,CE,2491.0,164625,132375,164625,151125,-19.59,32250
N,D,121581,HAL 25 Aug 2022 CE 2280.00,2022-08-25 14:30:00,HAL,HAL,2280.0,CE,2294.2,147725,119225,145825,119225,-19.29,28500
N,D,132389,HEROMOTOCO 25 Aug 2022 CE 2800.00,2022-08-25 14:30:00,HEROMOTOCO,HEROMOTOCO,2800.0,CE,2818.0,289200,238200,285900,240000,-17.63,51000
N,D,118367,GRASIM 25 Aug 2022 CE 1600.00,2022-08-25 14:30:00,GRASIM,GRASIM,1600.0,CE,1592.5,321100,266000,312550,253175,-17.16,55100
N,D,113390,EICHERMOT 25 Aug 2022 CE 3300.00,2022-08-25 14:30:00,EICHERMOT,EICHERMOT,3300.0,CE,3337.0,249550,207200,232050,216300,-16.97,42350
N,D,137479,MARUTI 25 Aug 2022 CE 8900.00,2022-08-25 14:30:00,MARUTI,MARUTI,8900.0,CE,9010.0,130500,108400,122200,111900,-16.93,22100
N,D,138565,MUTHOOTFIN 25 Aug 2022 CE 1020.00,2022-08-25 14:30:00,MUTHOOTFIN,MUTHOOTFIN,1020.0,CE,1050.55,147000,122625,144750,134250,-16.58,24375
N,D,112044,DEEPAKNTR 25 Aug 2022 CE 2050.00,2022-08-25 14:30:00,DEEPAKNTR,DEEPAKNTR,2050.0,CE,2097.0,193750,162750,189500,163750,-16.0,31000
N,D,84476,ACC 25 Aug 2022 CE 2280.00,2022-08-25 14:30:00,ACC,ACC,2280.0,CE,2271.0,138750,118250,138500,127000,-14.77,20500
N,D,113388,EICHERMOT 25 Aug 2022 CE 3280.00,2022-08-25 14:30:00,EICHERMOT,EICHERMOT,3280.0,CE,3337.0,35700,30450,34300,32200,-14.71,5250
