Exch,ExchType,Scripcode,Name,Expiry,Root,Symbol,StrikePrice,OptonType,LTP,OI,OI_Change,OI_START,OI_Prev,Ch,Ch_Diff
N,D,132391,HEROMOTOCO 25 Aug 2022 CE 2820.00,2022-08-25 14:30:00,HEROMOTOCO,HEROMOTOCO,2820.0,CE,2818.0,79500,24900,78900,24900,-68.68,54600
N,D,135887,JUBLFOOD 25 Aug 2022 CE 580.00,2022-08-25 14:30:00,JUBLFOOD,JUBLFOOD,580.0,CE,584.0,802500,315000,798750,316250,-60.75,487500
N,D,138567,MUTHOOTFIN 25 Aug 2022 CE 1040.00,2022-08-25 14:30:00,MUTHOOTFIN,MUTHOOTFIN,1040.0,CE,1050.55,350250,138000,347250,138000,-60.6,212250
N,D,133555,ICICIGI 25 Aug 2022 CE 1300.00,2022-08-25 14:30:00,ICICIGI,ICICIGI,1300.0,CE,1298.0,223125,89675,223125,89675,-59.81,133450
N,D,135889,JUBLFOOD 25 Aug 2022 CE 590.00,2022-08-25 14:30:00,JUBLFOOD,JUBLFOOD,590.0,CE,584.0,1077500,455000,1077500,455000,-57.77,622500
N,D,136769,LTTS 25 Aug 2022 CE 3700.00,2022-08-25 14:30:00,LTTS,LTTS,3700.0,CE,3679.95,73200,31000,70000,31000,-57.65,42200
N,D,96648,BAJFINANCE 25 Aug 2022 CE 7400.00,2022-08-25 14:30:00,BAJFINANCE,BAJFINANCE,7400.0,CE,7286.0,290500,123250,289375,123375,-57.57,167250
N,D,137919,MFSL 25 Aug 2022 CE 820.00,2022-08-25 14:30:00,MFSL,MFSL,820.0,CE,814.6,100750,42900,100750,42900,-57.42,57850
N,D,114418,GNFC 25 Aug 2022 CE 760.00,2022-08-25 14:30:00,GNFC,GNFC,760.0,CE,761.0,674700,287300,674700,291200,-57.42,387400
N,D,132181,HDFCLIFE 25 Aug 2022 CE 570.00,2022-08-25 14:30:00,HDFCLIFE,HDFCLIFE,570.0,CE,571.0,960300,413600,866800,421300,-56.93,546700
N,D,138565,MUTHOOTFIN 25 Aug 2022 CE 1020.00,2022-08-25 14:30:00,MUTHOOTFIN,MUTHOOTFIN,1020.0,CE,1050.55,147000,63375,144750,63375,-56.89,83625
