Exch,ExchType,Scripcode,Name,Expiry,Root,Symbol,StrikePrice,OptonType,LTP,OI,OI_Change,OI_START,OI_Prev,Ch,Ch_Diff
N,D,133555,ICICIGI 25 Aug 2022 CE 1300.00,2022-08-25 14:30:00,ICICIGI,ICICIGI,1300.0,CE,1298.0,223125,99025,223125,99450,-55.62,124100
N,D,132391,HEROMOTOCO 25 Aug 2022 CE 2820.00,2022-08-25 14:30:00,HEROMOTOCO,HEROMOTOCO,2820.0,CE,2818.0,79500,35700,78900,35700,-55.09,43800
N,D,135887,JUBLFOOD 25 Aug 2022 CE 580.00,2022-08-25 14:30:00,JUBLFOOD,JUBLFOOD,580.0,CE,584.0,802500,368750,798750,368750,-54.05,433750
N,D,132179,HDFCLIFE 25 Aug 2022 CE 565.00,2022-08-25 14:30:00,HDFCLIFE,HDFCLIFE,565.0,CE,571.0,344300,159500,188100,159500,-53.67,184800
N,D,135889,JUBLFOOD 25 Aug 2022 CE 590.00,2022-08-25 14:30:00,JUBLFOOD,JUBLFOOD,590.0,CE,584.0,1077500,508750,1077500,512500,-52.78,568750
N,D,132181,HDFCLIFE 25 Aug 2022 CE 570.00,2022-08-25 14:30:00,HDFCLIFE,HDFCLIFE,570.0,CE,571.0,960300,457600,866800,457600,-52.35,502700
N,D,147094,PEL 25 Aug 2022 CE 1920.00,2022-08-25 14:30:00,PEL,PEL,1920.0,CE,1925.45,119350,56925,119075,57475,-52.3,62425
N,D,137919,MFSL 25 Aug 2022 CE 820.00,2022-08-25 14:30:00,MFSL,MFSL,820.0,CE,814.6,100750,48750,100750,49400,-51.61,52000
N,D,96646,BAJFINANCE 25 Aug 2022 CE 7300.00,2022-08-25 14:30:00,BAJFINANCE,BAJFINANCE,7300.0,CE,7286.0,280125,136375,280875,136375,-51.32,143750
N,D,136769,LTTS 25 Aug 2022 CE 3700.00,2022-08-25 14:30:00,LTTS,LTTS,3700.0,CE,3679.95,73200,36200,70000,36200,-50.55,37000
N,D,95430,BAJAJFINSV 25 Aug 2022 CE 15750.00,2022-08-25 14:30:00,BAJAJFINSV,BAJAJFINSV,15750.0,CE,15930.0,27750,14100,27750,14100,-49.19,13650
N,D,125543,HDFCAMC 25 Aug 2022 PE 2220.00,2022-08-25 14:30:00,HDFCAMC,HDFCAMC,2220.0,PE,2184.55,5100,2700,5100,2700,-47.06,2400
N,D,147358,PERSISTENT 25 Aug 2022 CE 3750.00,2022-08-25 14:30:00,PERSISTENT,PERSISTENT,3750.0,CE,3735.0,20100,10650,20100,10650,-47.01,9450
N,D,115657,GODREJPROP 25 Aug 2022 CE 1340.00,2022-08-25 14:30:00,GODREJPROP,GODREJPROP,1340.0,CE,1362.5,35100,18850,35100,18850,-46.3,16250
N,D,122232,LTTS 25 Aug 2022 CE 3650.00,2022-08-25 14:30:00,LTTS,LTTS,3650.0,CE,3679.95,18600,10200,18000,10400,-45.16,8400
N,D,96648,BAJFINANCE 25 Aug 2022 CE 7400.00,2022-08-25 14:30:00,BAJFINANCE,BAJFINANCE,7400.0,CE,7286.0,290500,161000,289375,163000,-44.58,129500
N,D,135623,JKCEMENT 25 Aug 2022 CE 2700.00,2022-08-25 14:30:00,JKCEMENT,JKCEMENT,2700.0,CE,2650.0,65250,38250,65250,39000,-41.38,27000
N,D,133552,ICICIGI 25 Aug 2022 PE 1260.00,2022-08-25 14:30:00,ICICIGI,ICICIGI,1260.0,PE,1298.0,59500,35275,59500,35275,-40.71,24225
N,D,97584,DIXON 25 Aug 2022 CE 3850.00,2022-08-25 14:30:00,DIXON,DIXON,3850.0,CE,3902.0,19375,11500,19375,11500,-40.65,7875
N,D,84476,ACC 25 Aug 2022 CE 2280.00,2022-08-25 14:30:00,ACC,ACC,2280.0,CE,2271.0,138750,83000,138500,83000,-40.18,55750
N,D,95432,BAJAJFINSV 25 Aug 2022 CE 16000.00,2022-08-25 14:30:00,BAJAJFINSV,BAJAJFINSV,16000.0,CE,15930.0,90250,54250,90300,54550,-39.89,36000
N,D,141797,SBICARD 25 Aug 2022 CE 960.00,2022-08-25 14:30:00,SBICARD,SBICARD,960.0,CE,970.9,172800,104000,172000,104000,-39.81,68800
N,D,136767,LTTS 25 Aug 2022 CE 3600.00,2022-08-25 14:30:00,LTTS,LTTS,3600.0,CE,3679.95,69000,41600,69200,42200,-39.71,27400
N,D,132183,HDFCLIFE 25 Aug 2022 CE 575.00,2022-08-25 14:30:00,HDFCLIFE,HDFCLIFE,575.0,CE,571.0,249700,150700,253000,150700,-39.65,99000
N,D,132185,HDFCLIFE 25 Aug 2022 CE 580.00,2022-08-25 14:30:00,HDFCLIFE,HDFCLIFE,580.0,CE,571.0,987800,596200,959200,596200,-39.64,391600
N,D,110118,CANFINHOME 25 Aug 2022 CE 610.00,2022-08-25 14:30:00,CANFINHOME,CANFINHOME,610.0,CE,616.25,522600,317850,517725,317850,-39.18,204750
N,D,138565,MUTHOOTFIN 25 Aug 2022 CE 1020.00,2022-08-25 14:30:00,MUTHOOTFIN,MUTHOOTFIN,1020.0,CE,1050.55,147000,89625,144750,89625,-39.03,57375
N,D,147096,PEL 25 Aug 2022 CE 1940.00,2022-08-25 14:30:00,PEL,PEL,1940.0,CE,1925.45,96250,59125,95700,59400,-38.57,37125
N,D,84474,ACC 25 Aug 2022 CE 2260.00,2022-08-25 14:30:00,ACC,ACC,2260.0,CE,2271.0,131750,81000,131750,81250,-38.52,50750
N,D,135621,JKCEMENT 25 Aug 2022 CE 2650.00,2022-08-25 14:30:00,JKCEMENT,JKCEMENT,2650.0,CE,2650.0,30750,19000,30750,19500,-38.21,11750
N,D,144197,TRENT 25 Aug 2022 CE 1420.00,2022-08-25 14:30:00,TRENT,TRENT,1420.0,CE,1406.0,79750,49300,79750,48575,-38.18,30450
N,D,110618,COFORGE 25 Aug 2022 CE 3800.00,2022-08-25 14:30:00,COFORGE,COFORGE,3800.0,CE,3820.15,36750,22800,36750,23700,-37.96,13950
N,D,133095,HINDUNILVR 25 Aug 2022 CE 2660.00,2022-08-25 14:30:00,HINDUNILVR,HINDUNILVR,2660.0,CE,2646.2,272700,169500,274500,169500,-37.84,103200
N,D,102346,BERGEPAINT 25 Aug 2022 CE 690.00,2022-08-25 14:30:00,BERGEPAINT,BERGEPAINT,690.0,CE,681.5,421300,265100,423500,269500,-37.08,156200
N,D,137917,MFSL 25 Aug 2022 CE 810.00,2022-08-25 14:30:00,MFSL,MFSL,810.0,CE,814.6,7150,4550,7150,4550,-36.36,2600
N,D,98120,EICHERMOT 25 Aug 2022 CE 3350.00,2022-08-25 14:30:00,EICHERMOT,EICHERMOT,3350.0,CE,3337.0,164150,104650,160650,104650,-36.25,59500
N,D,112044,DEEPAKNTR 25 Aug 2022 CE 2050.00,2022-08-25 14:30:00,DEEPAKNTR,DEEPAKNTR,2050.0,CE,2097.0,193750,128500,189500,128500,-33.68,65250
N,D,139929,PEL 25 Aug 2022 CE 1950.00,2022-08-25 14:30:00,PEL,PEL,1950.0,CE,1925.45,92400,61325,92125,61050,-33.63,31075
N,D,111411,CUMMINSIND 25 Aug 2022 PE 1280.00,2022-08-25 14:30:00,CUMMINSIND,CUMMINSIND,1280.0,PE,1262.0,1800,1200,1800,1200,-33.33,600
N,D,83551,ABB 25 Aug 2022 PE 2860.00,2022-08-25 14:30:00,ABB,ABB,2860.0,PE,2900.0,1500,1000,1500,1000,-33.33,500
N,D,134996,INTELLECT 25 Aug 2022 PE 660.00,2022-08-25 14:30:00,INTELLECT,INTELLECT,660.0,PE,632.0,2250,1500,2250,750,-33.33,750
N,D,144199,TRENT 25 Aug 2022 CE 1440.00,2022-08-25 14:30:00,TRENT,TRENT,1440.0,CE,1406.0,116725,78300,115275,78300,-32.92,38425
N,D,138567,MUTHOOTFIN 25 Aug 2022 CE 1040.00,2022-08-25 14:30:00,MUTHOOTFIN,MUTHOOTFIN,1040.0,CE,1050.55,350250,235125,347250,235125,-32.87,115125
N,D,133091,HINDUNILVR 25 Aug 2022 CE 2620.00,2022-08-25 14:30:00,HINDUNILVR,HINDUNILVR,2620.0,CE,2646.2,59700,40200,59100,39600,-32.66,19500
N,D,141946,SBILIFE 25 Aug 2022 PE 1300.00,2022-08-25 14:30:00,SBILIFE,SBILIFE,1300.0,PE,1308.25,154500,104250,154500,104250,-32.52,50250
N,D,140007,PERSISTENT 25 Aug 2022 CE 3800.00,2022-08-25 14:30:00,PERSISTENT,PERSISTENT,3800.0,CE,3735.0,80850,54600,80550,54600,-32.47,26250
N,D,143717,TECHM 25 Aug 2022 CE 1060.00,2022-08-25 14:30:00,TECHM,TECHM,1060.0,CE,1077.0,591600,399600,582000,399600,-32.45,192000
N,D,115659,GODREJPROP 25 Aug 2022 CE 1360.00,2022-08-25 14:30:00,GODREJPROP,GODREJPROP,1360.0,CE,1362.5,115375,78325,114075,79625,-32.11,37050
N,D,140005,PERSISTENT 25 Aug 2022 CE 3700.00,2022-08-25 14:30:00,PERSISTENT,PERSISTENT,3700.0,CE,3735.0,27150,18450,27150,18450,-32.04,8700
N,D,132389,HEROMOTOCO 25 Aug 2022 CE 2800.00,2022-08-25 14:30:00,HEROMOTOCO,HEROMOTOCO,2800.0,CE,2818.0,289200,198000,285900,198000,-31.54,91200
N,D,113390,EICHERMOT 25 Aug 2022 CE 3300.00,2022-08-25 14:30:00,EICHERMOT,EICHERMOT,3300.0,CE,3337.0,249550,171150,232050,171150,-31.42,78400
N,D,134952,MINDTREE 25 Aug 2022 CE 3550.00,2022-08-25 14:30:00,MINDTREE,MINDTREE,3550.0,CE,3545.0,75400,51800,73800,51800,-31.3,23600
N,D,144773,VOLTAS 25 Aug 2022 CE 1020.00,2022-08-25 14:30:00,VOLTAS,VOLTAS,1020.0,CE,1020.0,973000,670000,926500,667000,-31.14,303000
N,D,119856,GUJGASLTD 25 Aug 2022 PE 490.00,2022-08-25 14:30:00,GUJGASLTD,GUJGASLTD,490.0,PE,482.1,36250,25000,36250,25000,-31.03,11250
N,D,152652,TITAN 25 Aug 2022 CE 2480.00,2022-08-25 14:30:00,TITAN,TITAN,2480.0,CE,2491.0,164625,114375,164625,114750,-30.52,50250
N,D,141799,SBICARD 25 Aug 2022 CE 970.00,2022-08-25 14:30:00,SBICARD,SBICARD,970.0,CE,970.9,123200,85600,119200,87200,-30.52,37600
N,D,140467,PIDILITIND 25 Aug 2022 CE 2640.00,2022-08-25 14:30:00,PIDILITIND,PIDILITIND,2640.0,CE,2678.5,29500,20500,29000,20500,-30.51,9000
N,D,133551,ICICIGI 25 Aug 2022 CE 1260.00,2022-08-25 14:30:00,ICICIGI,ICICIGI,1260.0,CE,1298.0,41650,29325,41650,29325,-29.59,12325
N,D,137915,MFSL 25 Aug 2022 CE 800.00,2022-08-25 14:30:00,MFSL,MFSL,800.0,CE,814.6,71500,50700,71500,51350,-29.09,20800
N,D,102344,BERGEPAINT 25 Aug 2022 CE 680.00,2022-08-25 14:30:00,BERGEPAINT,BERGEPAINT,680.0,CE,681.5,291500,206800,291500,209000,-29.06,84700
N,D,140469,PIDILITIND 25 Aug 2022 CE 2660.00,2022-08-25 14:30:00,PIDILITIND,PIDILITIND,2660.0,CE,2678.5,57500,42000,57750,42000,-26.96,15500
N,D,102342,BERGEPAINT 25 Aug 2022 CE 670.00,2022-08-25 14:30:00,BERGEPAINT,BERGEPAINT,670.0,CE,681.5,160600,117700,160600,118800,-26.71,42900
N,D,110620,COFORGE 25 Aug 2022 CE 3900.00,2022-08-25 14:30:00,COFORGE,COFORGE,3900.0,CE,3820.15,143250,105300,143250,106500,-26.49,37950
N,D,132393,HEROMOTOCO 25 Aug 2022 CE 2840.00,2022-08-25 14:30:00,HEROMOTOCO,HEROMOTOCO,2840.0,CE,2818.0,71400,52500,73500,52500,-26.47,18900
N,D,85078,ADANIPORTS 25 Aug 2022 CE 820.00,2022-08-25 14:30:00,ADANIPORTS,ADANIPORTS,820.0,CE,825.0,2312500,1717500,2273750,1726250,-25.73,595000
N,D,118365,GRASIM 25 Aug 2022 CE 1580.00,2022-08-25 14:30:00,GRASIM,GRASIM,1580.0,CE,1592.5,91200,67925,90725,67450,-25.52,23275
N,D,141801,SBICARD 25 Aug 2022 CE 980.00,2022-08-25 14:30:00,SBICARD,SBICARD,980.0,CE,970.9,152000,114400,151200,116000,-24.74,37600
N,D,96644,BAJFINANCE 25 Aug 2022 CE 7200.00,2022-08-25 14:30:00,BAJFINANCE,BAJFINANCE,7200.0,CE,7286.0,93875,71250,93875,72875,-24.1,22625
N,D,122643,HAVELLS 25 Aug 2022 CE 1280.00,2022-08-25 14:30:00,HAVELLS,HAVELLS,1280.0,CE,1300.55,46500,35500,46500,35500,-23.66,11000
N,D,144771,VOLTAS 25 Aug 2022 CE 1000.00,2022-08-25 14:30:00,VOLTAS,VOLTAS,1000.0,CE,1020.0,592500,452500,586000,451000,-23.63,140000
N,D,121581,HAL 25 Aug 2022 CE 2280.00,2022-08-25 14:30:00,HAL,HAL,2280.0,CE,2294.2,147725,113050,145825,113050,-23.47,34675
N,D,95428,BAJAJFINSV 25 Aug 2022 CE 15500.00,2022-08-25 14:30:00,BAJAJFINSV,BAJAJFINSV,15500.0,CE,15930.0,41050,31450,41050,31500,-23.39,9600
N,D,118367,GRASIM 25 Aug 2022 CE 1600.00,2022-08-25 14:30:00,GRASIM,GRASIM,1600.0,CE,1592.5,321100,246050,312550,246050,-23.37,75050
N,D,112042,DEEPAKNTR 25 Aug 2022 CE 2000.00,2022-08-25 14:30:00,DEEPAKNTR,DEEPAKNTR,2000.0,CE,2097.0,182000,139500,180500,139500,-23.35,42500
N,D,95488,BAJAJFINSV 25 Aug 2022 CE 16250.00,2022-08-25 14:30:00,BAJAJFINSV,BAJAJFINSV,16250.0,CE,15930.0,20000,15450,19850,16800,-22.75,4550
N,D,88151,CHOLAFIN 25 Aug 2022 CE 770.00,2022-08-25 14:30:00,CHOLAFIN,CHOLAFIN,770.0,CE,788.1,116250,90000,116250,90000,-22.58,26250
N,D,136303,LAURUSLABS 25 Aug 2022 CE 570.00,2022-08-25 14:30:00,LAURUSLABS,LAURUSLABS,570.0,CE,577.95,160200,124200,161100,125100,-22.47,36000
N,D,143715,TECHM 25 Aug 2022 CE 1040.00,2022-08-25 14:30:00,TECHM,TECHM,1040.0,CE,1077.0,220800,173400,217800,173400,-21.47,47400
N,D,144919,WHIRLPOOL 25 Aug 2022 CE 1800.00,2022-08-25 14:30:00,WHIRLPOOL,WHIRLPOOL,1800.0,CE,1793.6,43400,34300,43050,34650,-20.97,9100
N,D,136223,LALPATHLAB 25 Aug 2022 CE 2400.00,2022-08-25 14:30:00,LALPATHLAB,LALPATHLAB,2400.0,CE,2465.0,69250,54750,69250,54500,-20.94,14500
N,D,154110,WIPRO 25 Aug 2022 CE 435.00,2022-08-25 14:30:00,WIPRO,WIPRO,435.0,CE,437.25,483000,382000,481000,382000,-20.91,101000
N,D,144193,TRENT 25 Aug 2022 CE 1380.00,2022-08-25 14:30:00,TRENT,TRENT,1380.0,CE,1406.0,38425,30450,38425,30450,-20.75,7975
N,D,88615,ASTRAL 25 Aug 2022 CE 1980.00,2022-08-25 14:30:00,ASTRAL,ASTRAL,1980.0,CE,2009.0,7975,6325,7975,6325,-20.69,1650
N,D,133699,ICICIPRULI 25 Aug 2022 CE 575.00,2022-08-25 14:30:00,ICICIPRULI,ICICIPRULI,575.0,CE,577.25,58500,46500,58500,46500,-20.51,12000
N,D,137307,MARICO 25 Aug 2022 CE 510.00,2022-08-25 14:30:00,MARICO,MARICO,510.0,CE,512.4,117600,93600,117600,93600,-20.41,24000
N,D,137725,MCX 25 Aug 2022 CE 1300.00,2022-08-25 14:30:00,MCX,MCX,1300.0,CE,1312.0,100000,79600,100000,81600,-20.4,20400
N,D,139927,PEL 25 Aug 2022 CE 1900.00,2022-08-25 14:30:00,PEL,PEL,1900.0,CE,1925.45,192225,153175,191400,153175,-20.31,39050
N,D,110258,CHOLAFIN 25 Aug 2022 CE 780.00,2022-08-25 14:30:00,CHOLAFIN,CHOLAFIN,780.0,CE,788.1,236250,188750,236250,188750,-20.11,47500
N,D,142145,SHREECEM 25 Aug 2022 CE 21500.00,2022-08-25 14:30:00,SHREECEM,SHREECEM,21500.0,CE,21385.0,5475,4400,5525,4400,-19.63,1075
N,D,113388,EICHERMOT 25 Aug 2022 CE 3280.00,2022-08-25 14:30:00,EICHERMOT,EICHERMOT,3280.0,CE,3337.0,35700,28700,34300,28700,-19.61,7000
N,D,88962,COFORGE 25 Aug 2022 CE 3850.00,2022-08-25 14:30:00,COFORGE,COFORGE,3850.0,CE,3820.15,29850,24000,29850,24000,-19.6,5850
N,D,133697,ICICIPRULI 25 Aug 2022 CE 570.00,2022-08-25 14:30:00,ICICIPRULI,ICICIPRULI,570.0,CE,577.25,154500,124500,154500,123000,-19.42,30000
N,D,91821,AXISBANK 25 Aug 2022 CE 750.00,2022-08-25 14:30:00,AXISBANK,AXISBANK,750.0,CE,763.5,1008000,818400,896400,825600,-18.81,189600
N,D,143205,TATACONSUM 25 Aug 2022 CE 770.00,2022-08-25 14:30:00,TATACONSUM,TATACONSUM,770.0,CE,778.9,256500,209700,249300,209700,-18.25,46800
N,D,122645,HAVELLS 25 Aug 2022 CE 1300.00,2022-08-25 14:30:00,HAVELLS,HAVELLS,1300.0,CE,1300.55,363000,297500,367000,299500,-18.04,65500
N,D,87979,ASIANPAINT 25 Aug 2022 CE 3450.00,2022-08-25 14:30:00,ASIANPAINT,ASIANPAINT,3450.0,CE,3502.0,74400,61000,73800,61000,-18.01,13400
N,D,109333,BOSCHLTD 25 Aug 2022 PE 18000.00,2022-08-25 14:30:00,BOSCHLTD,BOSCHLTD,18000.0,PE,18055.0,3900,3200,3900,3200,-17.95,700
N,D,87981,ASIANPAINT 25 Aug 2022 CE 3500.00,2022-08-25 14:30:00,ASIANPAINT,ASIANPAINT,3500.0,CE,3502.0,323600,265600,315000,264200,-17.92,58000
N,D,112256,DIVISLAB 25 Aug 2022 CE 3750.00,2022-08-25 14:30:00,DIVISLAB,DIVISLAB,3750.0,CE,3744.0,121500,99750,126150,99900,-17.9,21750
N,D,133093,HINDUNILVR 25 Aug 2022 CE 2640.00,2022-08-25 14:30:00,HINDUNILVR,HINDUNILVR,2640.0,CE,2646.2,239100,198000,239700,198000,-17.19,41100
N,D,147356,PERSISTENT 25 Aug 2022 CE 3650.00,2022-08-25 14:30:00,PERSISTENT,PERSISTENT,3650.0,CE,3735.0,5250,4350,5250,4350,-17.14,900
N,D,94326,BAJAJ-AUTO 25 Aug 2022 PE 4000.00,2022-08-25 14:30:00,BAJAJ-AUTO,BAJAJ-AUTO,4000.0,PE,4089.05,86250,71500,86250,71500,-17.1,14750
N,D,110367,CIPLA 25 Aug 2022 PE 1020.00,2022-08-25 14:30:00,CIPLA,CIPLA,1020.0,PE,1036.0,213850,178100,215150,178100,-16.72,35750
